cruiseID,Station,depth_max,dec_lat,dec_lon,time_gmt,year,month,day,temp (degC),salinity,DO (mg/L),Avg chl a (ug/L),NH4  (uM),PO4  (uM),NO3+NO2 (uM),NO3   (uM),NO2  (uM),Si    (uM),8-day seascapes,monthly seascapes,conc_deployDurMin,focus_threshold,sampled_vol_per_min,total_vol_sampled,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,timeStamp,timestamp,deployment_id,deployDurMin
WS22337,68,4.35,24.931,-81.166,1:01:00 AM,2022,12,4,25.527,34.96,6.196,1.221348692,0.42,0.06,0.21,0.12,0.09,7.87,21.0,21.0,5.85,0.7,378.6,2214.81,,,,,,,2022-12-04 01:01:00,2022-12-04 01:01:00,0.0,5.85
WS22337,65,1.0,25.098,-81.094,2:27:00 AM,2022,12,4,25.756,31.481,6.4841,1.993628778,0.47,0.105,0.115,0.065,0.05,12.75,21.0,21.0,3.07,0.7,378.6,1161.4,,,,,,,2022-12-04 02:27:00,2022-12-04 02:27:58,1.0,3.066666666666667
WS22337,64,1.0,25.165,-81.16,3:23:00 AM,2022,12,4,25.531,30.163,6.34,2.650094497,0.34,0.14,0.13,0.09,0.04,10.59,21.0,21.0,0.02,0.7,378.6,6.4,,,,,,,2022-12-04 03:23:00,2022-12-04 03:26:54,2.0,0.016666666666666666
WS22337,60,5.94,25.165,-81.338,4:45:00 AM,2022,12,4,25.22429,32.17607,6.5086,2.380822236,0.79,0.09,1.42,1.03,0.39,8.17,21.0,21.0,4.9,0.7,378.6,1855.14,,,,,,,2022-12-04 04:45:00,2022-12-04 04:45:00,3.0,4.9
WS22337,58,11.6,25.168,-81.653,6:35:00 AM,2022,12,4,25.05396,34.86477,6.3567,0.563374386,0.96,0.06,0.58,0.4,0.18,6.05,21.0,21.0,6.37,0.7,378.6,241.42,,,,,,,2022-12-04 06:35:00,2022-12-04 06:35:34,4.0,6.366666666666666
WS22337,57.3,10.4,25.35,-81.65,8:17:00 AM,2022,12,4,24.89664,35.01142,6.3192,1.314076289,1.39,0.07,0.42,0.28,0.14,9.36,21.0,21.0,5.78,0.7,378.6,2189.57,,,,,,,2022-12-04 08:17:00,2022-12-04 08:17:08,5.0,5.783333333333333
WS22337,57.2,7.9,25.351,-81.492,9:33:00 AM,2022,12,4,24.916,34.824,6.334,1.509368564,0.95,0.06,1.46,1.08,0.38,4.59,21.0,21.0,5.5,0.7,378.6,282.3,,,,,,,2022-12-04 09:33:00,2022-12-04 09:33:00,6.0,5.5
WS22337,57.1,1.0,25.351,-81.336,10:41:00 AM,2022,12,4,24.752,33.111,6.265,0.69692146,1.3,0.05,0.54,0.38,0.16,13.63,21.0,21.0,3.77,0.7,378.6,1426.6,,,,,,,2022-12-04 10:41:00,2022-12-04 10:41:00,7.0,3.7666666666666666
WS22337,57,1.0,25.35,-81.267,11:21:00 AM,2022,12,4,24.551,31.534,6.407,1.163045931,1.16,0.06,0.31,0.17,0.14,14.22,21.0,21.0,3.87,0.7,378.6,1463.92,,,,,,,2022-12-04 11:21:00,2022-12-04 11:21:00,8.0,3.8666666666666667
WS22337,56,1.0,25.35,-81.226,11:51:00 AM,2022,12,4,24.435,29.289,6.392,3.450944646,0.69,0.04,0.23,0.14,0.09,20.66,21.0,27.0,3.83,0.7,378.6,1451.3,,,,,,,2022-12-04 11:51:00,2022-12-04 11:51:00,9.0,3.8333333333333335
